Expense ID,Date,Department,Category,Amount (INR),Payment Method,Approved,Budget Allocated,Budget Remaining
EXP0084,01-Sep-2025,Finance,Office Supplies,85100,Cheque,Yes,1200000,42900
EXP0035,06-Sep-2025,Marketing,Software,134200,Cheque,Yes,1800000,1151700
EXP0045,07-Sep-2025,Marketing,Utilities,55900,Credit Card,Yes,1800000,1059400
EXP0130,09-Sep-2025,Sales,Travel,106800,UPI,Yes,2500000,516300
EXP0149,11-Sep-2025,IT,Equipment,150800,Cheque,Yes,3000000,551400
EXP0025,17-Sep-2025,Finance,Utilities,29500,Bank Transfer,Yes,1200000,728500
EXP0160,17-Sep-2025,IT,Travel,53400,Cash,Yes,3000000,437200
EXP0081,19-Sep-2025,HR,Software,122400,Cash,Yes,900000,123700
EXP0115,25-Sep-2025,Operations,Training,114500,Cheque,Yes,2000000,841200
EXP0021,28-Sep-2025,IT,Travel,126300,Credit Card,Yes,3000000,2513600
EXP0026,29-Sep-2025,Sales,Client Entertainment,91200,Credit Card,No,2500000,1885800
EXP0047,29-Sep-2025,Marketing,Travel,177800,Credit Card,No,1800000,881600
EXP0168,01-Oct-2025,HR,Client Entertainment,116500,UPI,No,900000,-1568800
EXP0022,02-Oct-2025,Admin,Training,142500,Cash,Yes,700000,323200
EXP0071,02-Oct-2025,IT,Travel,22700,Cash,Yes,3000000,1805000
EXP0104,04-Oct-2025,Sales,Client Entertainment,42600,Credit Card,Yes,2500000,1182400
EXP0046,05-Oct-2025,Sales,Client Entertainment,12000,Cheque,Yes,2500000,1681600
EXP0098,07-Oct-2025,Admin,Utilities,91100,Cash,Yes,700000,-975700
EXP0090,08-Oct-2025,HR,Software,138000,UPI,Yes,900000,-237700
EXP0041,09-Oct-2025,Sales,Travel,121200,Cheque,Yes,2500000,1764600
EXP0124,09-Oct-2025,IT,Client Entertainment,130500,Cash,Yes,3000000,1117100
EXP0153,09-Oct-2025,Marketing,Training,81900,UPI,Yes,1800000,-365100
EXP0155,10-Oct-2025,HR,Office Supplies,42700,Credit Card,Yes,900000,-1100200
EXP0064,14-Oct-2025,Admin,Equipment,180200,Bank Transfer,No,700000,-147400
EXP0133,16-Oct-2025,IT,Office Supplies,183900,Credit Card,Yes,3000000,933200
EXP0050,17-Oct-2025,Finance,Client Entertainment,173000,Bank Transfer,Yes,1200000,430100
EXP0180,17-Oct-2025,Admin,Travel,168600,UPI,Yes,700000,-1994900
EXP0049,19-Oct-2025,Marketing,Travel,115200,UPI,Yes,1800000,766400
EXP0080,24-Oct-2025,Finance,Client Entertainment,86800,UPI,Yes,1200000,146600
EXP0161,24-Oct-2025,Operations,Miscellaneous,160300,UPI,Yes,2000000,179700
EXP0123,25-Oct-2025,IT,Miscellaneous,103100,Cash,Yes,3000000,1247600
EXP0096,27-Oct-2025,Operations,Travel,158700,Cheque,Yes,2000000,1087000
EXP0033,29-Oct-2025,Marketing,Travel,14500,Credit Card,Yes,1800000,1285900
EXP0127,29-Oct-2025,Admin,Training,181400,Bank Transfer,Yes,700000,-1503400
EXP0089,01-Nov-2025,IT,Miscellaneous,113900,Cheque,Yes,3000000,1691100
EXP0142,01-Nov-2025,Operations,Training,82100,UPI,Yes,2000000,689600
EXP0144,03-Nov-2025,Sales,Equipment,136300,Cheque,Yes,2500000,380000
EXP0111,04-Nov-2025,Admin,Office Supplies,147600,Cheque,Yes,700000,-1322000
EXP0007,06-Nov-2025,IT,Travel,135400,Cheque,Yes,3000000,2864600
EXP0030,07-Nov-2025,HR,Utilities,172000,Bank Transfer,Yes,900000,655900
EXP0106,15-Nov-2025,Marketing,Utilities,24700,Credit Card,Yes,1800000,97600
EXP0152,15-Nov-2025,Admin,Miscellaneous,116300,Credit Card,Yes,700000,-1736000
EXP0140,17-Nov-2025,Finance,Utilities,79500,Cheque,Yes,1200000,-484600
EXP0154,19-Nov-2025,Finance,Utilities,131700,Cash,Yes,1200000,-616300
EXP0058,21-Nov-2025,Admin,Training,94200,Cash,No,700000,32800
EXP0082,21-Nov-2025,Finance,Client Entertainment,18600,Bank Transfer,Yes,1200000,128000
EXP0011,22-Nov-2025,Admin,Client Entertainment,31300,Cash,Yes,700000,668700
EXP0001,24-Nov-2025,Sales,Travel,137600,Bank Transfer,Yes,2500000,2362400
EXP0105,30-Nov-2025,Sales,Travel,175800,Bank Transfer,Yes,2500000,1006600
EXP0037,04-Dec-2025,HR,Client Entertainment,79200,UPI,No,900000,576700
EXP0056,06-Dec-2025,Sales,Software,50000,Credit Card,Yes,2500000,1516100
EXP0076,06-Dec-2025,Admin,Office Supplies,133600,Cash,Yes,700000,-569800
EXP0077,08-Dec-2025,HR,Client Entertainment,75300,Cash,Yes,900000,429200
EXP0175,08-Dec-2025,Sales,Miscellaneous,166900,Cheque,Yes,2500000,136400
EXP0118,09-Dec-2025,HR,Client Entertainment,6800,Cash,Yes,900000,-651300
EXP0075,10-Dec-2025,Marketing,Client Entertainment,80600,Cash,Yes,1800000,290200
EXP0020,15-Dec-2025,HR,Office Supplies,72100,Cheque,No,900000,827900
EXP0110,20-Dec-2025,Admin,Utilities,20200,Cash,No,700000,-1174400
EXP0126,20-Dec-2025,Marketing,Utilities,41200,UPI,Yes,1800000,56400
EXP0171,22-Dec-2025,IT,Travel,9900,Credit Card,Yes,3000000,221500
EXP0085,23-Dec-2025,HR,Miscellaneous,74800,Bank Transfer,Yes,900000,48900
EXP0087,23-Dec-2025,Finance,Miscellaneous,10700,Bank Transfer,No,1200000,32200
EXP0163,24-Dec-2025,Marketing,Equipment,44400,UPI,Yes,1800000,-409500
EXP0143,25-Dec-2025,HR,Training,93300,UPI,Yes,900000,-887900
EXP0179,25-Dec-2025,IT,Travel,181000,UPI,Yes,3000000,-78200
EXP0055,27-Dec-2025,IT,Travel,124100,Cheque,Yes,3000000,2212900
